Title,Week,List,Rank,Author,Price,ISBN,Previous Rank,Weeks on List
A Wrinkle in Time,2/14/2018,Early & Middle,1,Madeleine L'Engle,8.99,9781250153272,,
Wonder,2/14/2018,Early & Middle,2,R.J. Palacio,16.99,9781524720193,,
Auggie & Me,2/14/2018,Early & Middle,3,R.J. Palacio,16.99,9781101934852,,
The Girl Who Drank the Moon,2/14/2018,Early & Middle,4,Kelly Barnhill,16.95,9781616205676,,
Smile,2/14/2018,Early & Middle,5,Raina Telgemeier,10.99,9780545132060,,
The War That Saved My Life,2/14/2018,Early & Middle,6,Kimberly Brubaker Bradley,8.99,9780147510488,,
Drama,2/14/2018,Early & Middle,7,Raina Telgemeier,10.99,9780545326995,,
The War I Finally Won,2/14/2018,Early & Middle,8,Kimberly Brubaker Bradley,16.99,9780525429203,,
Wishtree,2/14/2018,Early & Middle,9,Katherine Applegate,16.99,9781250043221,,
Sisters,2/14/2018,Early & Middle,10,Raina Telgemeier,10.99,9780545540605,,
Ghosts,2/14/2018,Early & Middle,11,Raina Telgemeier,10.99,9780545540629,,
Harry Potter: A Journey Through a History of Magic,2/14/2018,Early & Middle,12,British Library,19.99,9781338267105,,
The One and Only Ivan,2/14/2018,Early & Middle,13,Katherine Applegate & Patricia Castelao (Illus.),7.99,9780061992278,,
Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,2/14/2018,Early & Middle,14,Pete Souza,21.99,9780316514392,,
Refugee,2/14/2018,Early & Middle,15,Alan Gratz,16.99,9780545880831,,
The Great Alone,2/14/2018,Hardcover Fiction,1,Kristin Hannah,28.99,9780312577230,,1
An American Marriage,2/14/2018,Hardcover Fiction,2,Tayari Jones,26.95,9781616201340,,1
The Woman in the Window,2/14/2018,Hardcover Fiction,3,A.J. Finn,26.99,9780062678416,1,6
A Gentleman in Moscow,2/14/2018,Hardcover Fiction,4,Amor Towles,27,9780670026197,3,75
The Immortalists,2/14/2018,Hardcover Fiction,5,Chloe Benjamin,26,9780735213180,2,5
Little Fires Everywhere,2/14/2018,Hardcover Fiction,6,Celeste Ng,27,9780735224292,5,22
"Sing, Unburied, Sing",2/14/2018,Hardcover Fiction,7,Jesmyn Ward,26,9781501126062,4,19
Still Me,2/14/2018,Hardcover Fiction,8,Jojo Moyes,27,9780399562457,6,2
Origin,2/14/2018,Hardcover Fiction,9,Dan Brown,29.95,9780385514231,7,19
The Wife Between Us,2/14/2018,Hardcover Fiction,10,Greer Hendricks,26.99,9781250130921,8,5
The Power,2/14/2018,Hardcover Fiction,11,Naomi Alderman,26,9780316547611,9,6
The Rooster Bar,2/14/2018,Hardcover Fiction,12,John Grisham,28.95,9780385541176,13,16
Artemis,2/14/2018,Hardcover Fiction,13,Andy Weir,27,9780553448122,11,13
Manhattan Beach,2/14/2018,Hardcover Fiction,14,Jennifer Egan,27,9781476716732,10,19
Munich,2/14/2018,Hardcover Fiction,15,Robert Harris,27.95,9780525520269,,1
Fire and Fury,2/14/2018,Hardcover Nonfiction,1,Michael Wolff,30,9781250158062,1,6
Astrophysics for People in a Hurry,2/14/2018,Hardcover Nonfiction,2,Neil deGrasse Tyson,18.95,9780393609394,2,41
The Subtle Art of Not Giving A F*ck,2/14/2018,Hardcover Nonfiction,3,Mark Manson,24.99,9780062457714,3,45
Leonardo da Vinci,2/14/2018,Hardcover Nonfiction,4,Walter Isaacson,35,9781501139154,4,17
The Last Black Unicorn,2/14/2018,Hardcover Nonfiction,5,Tiffany Haddish,26,9781501181825,8,7
The Monk of Mokha,2/14/2018,Hardcover Nonfiction,6,Dave Eggers,28.95,9781101947319,7,2
Killers of the Flower Moon,2/14/2018,Hardcover Nonfiction,7,David Grann,28.95,9780385534246,5,32
Obama: An Intimate Portrait,2/14/2018,Hardcover Nonfiction,8,Pete Souza,50,9780316512589,,8
Principles,2/14/2018,Hardcover Nonfiction,9,Ray Dalio,30,9781501124020,9,12
How Democracies Die,2/14/2018,Hardcover Nonfiction,10,Steven Levitsky,26,9781524762933,11,3
Hillbilly Elegy,2/14/2018,Hardcover Nonfiction,11,J.D. Vance,27.99,9780062300546,10,76
When,2/14/2018,Hardcover Nonfiction,12,Daniel H. Pink,28,9780735210622,6,5
Directorate S: The C.I.A. and America's Secret Wars in Afghanistan and Pakistan,2/14/2018,Hardcover Nonfiction,13,Steve Coll,35,9781594204586,,1
The Book of Joy,2/14/2018,Hardcover Nonfiction,14,The Dalai Lama,26,9780399185045,13,47
Feel Free,2/14/2018,Hardcover Nonfiction,15,Zadie Smith,28,9781594206252,,1
No Middle Name,2/14/2018,Mass Market,1,Lee Child,9.99,9780399593598,1,6
Ready Player One,2/14/2018,Mass Market,2,Ernest Cline,9.99,9780804190145,,1
The Whistler,2/14/2018,Mass Market,3,John Grisham,9.99,9781101967683,2,31
Never Never,2/14/2018,Mass Market,4,James Patterson,9.99,9781478944782,4,7
Dragon Teeth,2/14/2018,Mass Market,5,Michael Crichton,9.99,9780062473363,3,11
The Husband's Secret,2/14/2018,Mass Market,6,Liane Moriarty,9.99,9780451490049,8,30
Against All Odds,2/14/2018,Mass Market,7,Danielle Steel,8.99,9781101883938,6,3
Thomas Jefferson and the Tripoli Pirates,2/14/2018,Mass Market,8,Brian Kilmeade,9.99,9780143131830,7,2
What Alice Forgot,2/14/2018,Mass Market,9,Liane Moriarty,9.99,9780451490445,9,6
The Lost Order,2/14/2018,Mass Market,10,Steve Berry,9.99,9781250058461,10,5
The Underground Railroad,2/14/2018,Trade Paperback Fiction,1,Colson Whitehead,16.95,9780345804327,1,2
Lincoln in the Bardo,2/14/2018,Trade Paperback Fiction,2,George Saunders,17,9780812985405,,1
Pachinko,2/14/2018,Trade Paperback Fiction,3,Min Jin Lee,15.99,9781455563920,2,13
The Women in the Castle,2/14/2018,Trade Paperback Fiction,4,Jessica Shattuck,16.99,9780062563675,3,6
The Woman in Cabin 10,2/14/2018,Trade Paperback Fiction,5,Ruth Ware,16,9781501132957,7,44
We Were the Lucky Ones,2/14/2018,Trade Paperback Fiction,6,Georgia Hunter,16,9780399563096,6,6
Beartown,2/14/2018,Trade Paperback Fiction,7,Fredrik Backman,17,9781501160776,,1
All the Light We Cannot See,2/14/2018,Trade Paperback Fiction,8,Anthony Doerr,17,9781501173219,4,45
The Handmaid's Tale,2/14/2018,Trade Paperback Fiction,9,Margaret Atwood,15.95,9780525435006,5,42
Ready Player One,2/14/2018,Trade Paperback Fiction,10,Ernest Cline,16,9780804190138,,1
The Couple Next Door,2/14/2018,Trade Paperback Fiction,11,Shari Lapena,16,9780735221109,11,37
The Sun and Her Flowers,2/14/2018,Trade Paperback Fiction,12,Rupi Kaur,16.99,9781449486792,8,19
Milk and Honey,2/14/2018,Trade Paperback Fiction,13,Rupi Kaur,14.99,9781449474256,13,75
A Piece of the World,2/14/2018,Trade Paperback Fiction,14,Christina Baker Kline,16.99,9780062356277,,1
Call Me by Your Name,2/14/2018,Trade Paperback Fiction,15,Andre Aciman,17,9781250169440,12,5
You Are a Badass,2/14/2018,Trade Paperback Nonfiction,1,Jen Sincero,16,9780762447695,1,134
The Silk Roads,2/14/2018,Trade Paperback Nonfiction,2,Peter Frankopan,20,9781101912379,2,11
12 Strong,2/14/2018,Trade Paperback Nonfiction,3,Doug Stanton,18,9781501178511,3,7
Invisible Influence,2/14/2018,Trade Paperback Nonfiction,4,Jonah Berger,16,9781476759739,7,34
Being Mortal,2/14/2018,Trade Paperback Nonfiction,5,Atul Gawande,16,9781250076229,5,23
The Lost City of the Monkey God,2/14/2018,Trade Paperback Nonfiction,6,Douglas J. Preston,15.99,9781455540013,4,22
HBR's 10 Must Reads on Emotional Intelligence,2/14/2018,Trade Paperback Nonfiction,7,Harvard Business School Press,24.95,9781633690196,6,76
HBR's 10 Must Reads on Managing Yourself,2/14/2018,Trade Paperback Nonfiction,8,Harvard Business School Press,24.95,9781422157992,8,56
Evicted,2/14/2018,Trade Paperback Nonfiction,9,Matthew Desmond,17,9780553447453,10,39
The Undoing Project,2/14/2018,Trade Paperback Nonfiction,10,Michael Lewis,16.95,9780393354775,9,15
Start With Why,2/14/2018,Trade Paperback Nonfiction,11,Simon Sinek,16,9781591846444,15,2
Leaders Eat Last,2/14/2018,Trade Paperback Nonfiction,12,Simon Sinek,17,9781591848011,13,2
How to Love,2/14/2018,Trade Paperback Nonfiction,13,Thich Nhat Hanh,9.95,9781937006884,,20
Black Edge,2/14/2018,Trade Paperback Nonfiction,14,Sheelah Kolhatkar,18,9780812985795,14,2
Being a Dog,2/14/2018,Trade Paperback Nonfiction,15,Alexandra Horowitz,17,9781476796024,12,17
The Hate U Give,2/14/2018,Young Adult,1,Angie Thomas,17.99,9780062498533,,
Turtles All the Way Down,2/14/2018,Young Adult,2,John Green,19.99,9780525555360,,
Tempests and Slaughter,2/14/2018,Young Adult,3,Tamora Pierce,18.99,9780375847110,,
Every Day,2/14/2018,Young Adult,4,David Levithan,10.99,9780525581611,,
The Hazel Wood,2/14/2018,Young Adult,5,Melissa Albert,16.99,9781250147905,,
The Book of Dust: La Belle Sauvage,2/14/2018,Young Adult,6,Philip Pullman,22.99,9780375815300,,
Simon vs. the Homo Sapiens Agenda,2/14/2018,Young Adult,7,Becky Albertalli,10.99,9780062792167,,
"Everything, Everything",2/14/2018,Young Adult,8,Nicola Yoon,10.99,9781524769604,,
The Cruel Prince,2/14/2018,Young Adult,9,Holly Black,18.99,9780316310277,,
The Book Thief,2/14/2018,Young Adult,10,Markus Zusak,12.99,9780385754729,,
One of Us Is Lying,2/14/2018,Young Adult,11,Karen M. McManus,17.99,9781524714680,,
Salt to the Sea,2/14/2018,Young Adult,12,Ruta Sepetys,10.99,9780142423622,,
The Giver,2/14/2018,Young Adult,13,Lois Lowry,9.99,9780544340688,,
The Belles,2/14/2018,Young Adult,14,Dhonielle Clayton,17.99,9781484728499,,
Renegades,2/14/2018,Young Adult,15,Marissa Meyer,19.99,9781250044662,,
A Wrinkle in Time,2/28/2018,Early & Middle,1,Madeleine L'Engle,8.99,9781250153272,,
Wonder,2/28/2018,Early & Middle,2,R.J. Palacio,16.99,9781524720193,,
Auggie & Me,2/28/2018,Early & Middle,3,R.J. Palacio,16.99,9781101934852,,
The Girl Who Drank the Moon,2/28/2018,Early & Middle,4,Kelly Barnhill,16.95,9781616205676,,
Drama,2/28/2018,Early & Middle,5,Raina Telgemeier,10.99,9780545326995,,
The War That Saved My Life,2/28/2018,Early & Middle,6,Kimberly Brubaker Bradley,8.99,9780147510488,,
Black Panther: The Young Prince,2/28/2018,Early & Middle,7,Ronald L. Smith,16.99,9781484787649,,
Sisters,2/28/2018,Early & Middle,8,Raina Telgemeier,10.99,9780545540605,,
Smile,2/28/2018,Early & Middle,9,Raina Telgemeier,10.99,9780545132060,,
Black Panther: The Young Prince,2/28/2018,Early & Middle,10,Jim McCann,6.99,9780316413206,,
All's Faire in Middle School,2/28/2018,Early & Middle,11,Victoria Jamieson,12.99,9780525429999,,
The War I Finally Won,2/28/2018,Early & Middle,12,Kimberly Brubaker Bradley,16.99,9780525429203,,
Ghosts,2/28/2018,Early & Middle,13,Raina Telgemeier,10.99,9780545540629,,
"Hello, Universe",2/28/2018,Early & Middle,14,Erin Entrada Kelly,16.99,9780062414151,,
Wishtree,2/28/2018,Early & Middle,15,Katherine Applegate,16.99,9781250043221,,
An American Marriage,2/28/2018,Hardcover Fiction,1,Tayari Jones,26.95,9781616208776,1,3
The Great Alone,2/28/2018,Hardcover Fiction,2,Kristin Hannah,28.99,9780312577230,2,3
The Woman in the Window,2/28/2018,Hardcover Fiction,3,A.J. Finn,26.99,9780062678416,3,8
A Gentleman in Moscow,2/28/2018,Hardcover Fiction,4,Amor Towles,27,9780670026197,5,77
Little Fires Everywhere,2/28/2018,Hardcover Fiction,5,Celeste Ng,27,9780735224292,4,24
The Immortalists,2/28/2018,Hardcover Fiction,6,Chloe Benjamin,26,9780735213180,6,7
"Sing, Unburied, Sing",2/28/2018,Hardcover Fiction,7,Jesmyn Ward,26,9781501126062,7,21
The Power,2/28/2018,Hardcover Fiction,8,Naomi Alderman,26,9780316547611,10,8
Still Me,2/28/2018,Hardcover Fiction,9,Jojo Moyes,27,9780399562457,9,4
Origin,2/28/2018,Hardcover Fiction,10,Dan Brown,29.95,9780385514231,8,21
How to Stop Time,2/28/2018,Hardcover Fiction,11,Matt Haig,26,9780525522874,15,2
Manhattan Beach,2/28/2018,Hardcover Fiction,12,Jennifer Egan,27,9781476716732,11,21
White Houses,2/28/2018,Hardcover Fiction,13,Amy Bloom,27,9780812995664,12,2
Asymmetry,2/28/2018,Hardcover Fiction,14,Lisa Halliday,26,9781501166761,,1
Artemis,2/28/2018,Hardcover Fiction,15,Andy Weir,27,9780553448122,,14
Fire and Fury,2/28/2018,Hardcover Nonfiction,1,Michael Wolff,30,9781250158062,1,8
Astrophysics for People in a Hurry,2/28/2018,Hardcover Nonfiction,2,Neil deGrasse Tyson,18.95,9780393609394,2,43
The Subtle Art of Not Giving A F*ck,2/28/2018,Hardcover Nonfiction,3,Mark Manson,24.99,9780062457714,3,47
Educated,2/28/2018,Hardcover Nonfiction,4,Tara Westover,28,9780399590504,,1
Enlightenment Now,2/28/2018,Hardcover Nonfiction,5,Steven Pinker,35,9780525427575,6,2
Leonardo da Vinci,2/28/2018,Hardcover Nonfiction,6,Walter Isaacson,35,9781501139154,7,19
12 Rules for Life,2/28/2018,Hardcover Nonfiction,7,Jordan B. Peterson,25.95,9780345816023,8,2
The Last Black Unicorn,2/28/2018,Hardcover Nonfiction,8,Tiffany Haddish,26,9781501181825,5,9
Hillbilly Elegy,2/28/2018,Hardcover Nonfiction,9,J.D. Vance,27.99,9780062300546,9,78
Killers of the Flower Moon,2/28/2018,Hardcover Nonfiction,10,David Grann,28.95,9780385534246,12,34
Principles,2/28/2018,Hardcover Nonfiction,11,Ray Dalio,30,9781501124020,14,14
The Monk of Mokha,2/28/2018,Hardcover Nonfiction,12,Dave Eggers,28.95,9781101947319,4,4
Obama: An Intimate Portrait,2/28/2018,Hardcover Nonfiction,13,Pete Souza,50,9780316512589,11,10
What Are We Doing Here?: Essays,2/28/2018,Hardcover Nonfiction,14,Marilynne Robinson,27,9780374282219,,1
Feel Free,2/28/2018,Hardcover Nonfiction,15,Zadie Smith,28,9781594206252,,2
No Middle Name,2/28/2018,Mass Market,1,Lee Child,9.99,9780399593598,1,8
Ready Player One,2/28/2018,Mass Market,2,Ernest Cline,9.99,9780804190145,2,3
The Whistler,2/28/2018,Mass Market,3,John Grisham,9.99,9781101967683,3,33
Red Sparrow,2/28/2018,Mass Market,4,Jason Matthews,9.99,9781501168918,,1
Never Never,2/28/2018,Mass Market,5,James Patterson,9.99,9781478944782,6,9
1984,2/28/2018,Mass Market,6,George Orwell,9.99,9780451524935,10,176
The Husband's Secret,2/28/2018,Mass Market,7,Liane Moriarty,9.99,9780451490049,5,32
Dragon Teeth,2/28/2018,Mass Market,8,Michael Crichton,9.99,9780062473363,4,13
Against All Odds,2/28/2018,Mass Market,9,Danielle Steel,8.99,9781101883938,9,5
What Alice Forgot,2/28/2018,Mass Market,10,Liane Moriarty,9.99,9780451490445,8,8
Lincoln in the Bardo,2/28/2018,Trade Paperback Fiction,1,George Saunders,17,9780812985405,1,3
The Underground Railroad,2/28/2018,Trade Paperback Fiction,2,Colson Whitehead,16.95,9780345804327,2,4
Pachinko,2/28/2018,Trade Paperback Fiction,3,Min Jin Lee,15.99,9781455563920,4,15
Beartown,2/28/2018,Trade Paperback Fiction,4,Fredrik Backman,17,9781501160776,3,3
Ready Player One,2/28/2018,Trade Paperback Fiction,5,Ernest Cline,16,9780804190138,8,3
The Women in the Castle,2/28/2018,Trade Paperback Fiction,6,Jessica Shattuck,16.99,9780062563675,9,8
The Woman in Cabin 10,2/28/2018,Trade Paperback Fiction,7,Ruth Ware,16,9781501132957,5,46
The Sun and Her Flowers,2/28/2018,Trade Paperback Fiction,8,Rupi Kaur,16.99,9781449486792,11,21
We Were the Lucky Ones,2/28/2018,Trade Paperback Fiction,9,Georgia Hunter,16,9780399563096,7,8
Small Great Things,2/28/2018,Trade Paperback Fiction,10,Jodi Picoult,17,9780345544971,,1
The Handmaid's Tale,2/28/2018,Trade Paperback Fiction,11,Margaret Atwood,15.95,9780525435006,10,44
All the Light We Cannot See,2/28/2018,Trade Paperback Fiction,12,Anthony Doerr,17,9781501173219,6,47
The Couple Next Door,2/28/2018,Trade Paperback Fiction,13,Shari Lapena,16,9780735221109,14,39
Call Me by Your Name,2/28/2018,Trade Paperback Fiction,14,Andre Aciman,17,9781250169440,12,7
Milk and Honey,2/28/2018,Trade Paperback Fiction,15,Rupi Kaur,14.99,9781449474256,13,77
You Are a Badass,2/28/2018,Trade Paperback Nonfiction,1,Jen Sincero,16,9780762447695,1,136
The Stranger in the Woods,2/28/2018,Trade Paperback Nonfiction,2,Michael Finkel,16,9781101911532,,1
The Silk Roads,2/28/2018,Trade Paperback Nonfiction,3,Peter Frankopan,20,9781101912379,2,13
12 Strong,2/28/2018,Trade Paperback Nonfiction,4,Doug Stanton,18,9781501178511,3,9
Invisible Influence,2/28/2018,Trade Paperback Nonfiction,5,Jonah Berger,16,9781476759739,4,36
Being Mortal,2/28/2018,Trade Paperback Nonfiction,6,Atul Gawande,16,9781250076229,5,25
HBR's 10 Must Reads on Emotional Intelligence,2/28/2018,Trade Paperback Nonfiction,7,Harvard Business School Press,24.95,9781633690196,6,78
HBR's 10 Must Reads on Managing Yourself,2/28/2018,Trade Paperback Nonfiction,8,Harvard Business School Press,24.95,9781422157992,7,58
Evicted,2/28/2018,Trade Paperback Nonfiction,9,Matthew Desmond,17,9780553447453,8,41
On Tyranny,2/28/2018,Trade Paperback Nonfiction,10,Timothy Snyder,7.99,9780804190114,14,49
Start With Why,2/28/2018,Trade Paperback Nonfiction,11,Simon Sinek,16,9781591846444,12,4
Leaders Eat Last,2/28/2018,Trade Paperback Nonfiction,12,Simon Sinek,17,9781591848011,,3
The Undoing Project,2/28/2018,Trade Paperback Nonfiction,13,Michael Lewis,16.95,9780393354775,13,17
The Lost City of the Monkey God,2/28/2018,Trade Paperback Nonfiction,14,Douglas J. Preston,15.99,9781455540013,11,24
Janesville: An American Story,2/28/2018,Trade Paperback Nonfiction,15,Amy Goldstein,16,9781501102264,,1
The Hate U Give,2/28/2018,Young Adult,1,Angie Thomas,17.99,9780062498533,,
Turtles All the Way Down,2/28/2018,Young Adult,2,John Green,19.99,9780525555360,,
Every Day,2/28/2018,Young Adult,3,David Levithan,10.99,9780525581611,,
Simon vs. the Homo Sapiens Agenda,2/28/2018,Young Adult,4,Becky Albertalli,10.99,9780062792167,,
The Prince and the Dressmaker,2/28/2018,Young Adult,5,Jen Wang,16.99,9781626723634,,
The Book of Dust: La Belle Sauvage,2/28/2018,Young Adult,6,Philip Pullman,22.99,9780375815300,,
"Everything, Everything",2/28/2018,Young Adult,7,Nicola Yoon,10.99,9781524769604,,
Tempests and Slaughter,2/28/2018,Young Adult,8,Tamora Pierce,18.99,9780375847110,,
One of Us Is Lying,2/28/2018,Young Adult,9,Karen M. McManus,17.99,9781524714680,,
The Book Thief,2/28/2018,Young Adult,10,Markus Zusak,12.99,9780385754729,,
Dear Martin,2/28/2018,Young Adult,11,Nic Stone,17.99,9781101939499,,
The Fault in Our Stars,2/28/2018,Young Adult,12,John Green,12.99,9780142424179,,
Warcross,2/28/2018,Young Adult,13,Marie Lu,18.99,9780399547966,,
The Cruel Prince,2/28/2018,Young Adult,14,Holly Black,18.99,9780316310277,,
The Sun Is Also a Star,2/28/2018,Young Adult,15,Nicola Yoon,18.99,9780553496680,,
A Wrinkle in Time,2/7/2018,Early & Middle,1,Madeleine L'Engle,8.99,9781250153272,,
Wonder,2/7/2018,Early & Middle,2,R.J. Palacio,16.99,9781524720193,,
The Girl Who Drank the Moon,2/7/2018,Early & Middle,3,Kelly Barnhill,16.95,9781616205676,,
Little Leaders: Bold Women in Black History,2/7/2018,Early & Middle,4,Vashti Harrison,16.99,9780316475112,,
The War That Saved My Life,2/7/2018,Early & Middle,5,Kimberly Brubaker Bradley,8.99,9780147510488,,
Auggie & Me,2/7/2018,Early & Middle,6,R.J. Palacio,16.99,9781101934852,,
Sisters,2/7/2018,Early & Middle,7,Raina Telgemeier,10.99,9780545540605,,
Smile,2/7/2018,Early & Middle,8,Raina Telgemeier,10.99,9780545132060,,
All's Faire in Middle School,2/7/2018,Early & Middle,9,Victoria Jamieson,12.99,9780525429999,,
The War I Finally Won,2/7/2018,Early & Middle,10,Kimberly Brubaker Bradley,16.99,9780525429203,,
Drama,2/7/2018,Early & Middle,11,Raina Telgemeier,10.99,9780545326995,,
Wishtree,2/7/2018,Early & Middle,12,Katherine Applegate,16.99,9781250043221,,
Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,2/7/2018,Early & Middle,13,Pete Souza,21.99,9780316514392,,
The One and Only Ivan,2/7/2018,Early & Middle,14,Katherine Applegate,7.99,9780061992278,,
Hatchet,2/7/2018,Early & Middle,15,Gary Paulsen,9.99,9781481486293,,
The Woman in the Window,2/7/2018,Hardcover Fiction,1,A.J. Finn,26.99,9780062678416,2,5
The Immortalists,2/7/2018,Hardcover Fiction,2,Chloe Benjamin,26,9780735213180,1,4
A Gentleman in Moscow,2/7/2018,Hardcover Fiction,3,Amor Towles,27,9780670026197,3,74
"Sing, Unburied, Sing",2/7/2018,Hardcover Fiction,4,Jesmyn Ward,26,9781501126062,5,18
Little Fires Everywhere,2/7/2018,Hardcover Fiction,5,Celeste Ng,27,9780735224292,4,21
Still Me,2/7/2018,Hardcover Fiction,6,Jojo Moyes,27,9780399562457,,1
Origin,2/7/2018,Hardcover Fiction,7,Dan Brown,29.95,9780385514231,6,18
The Wife Between Us,2/7/2018,Hardcover Fiction,8,Greer Hendricks,26.99,9781250130921,10,4
The Power,2/7/2018,Hardcover Fiction,9,Naomi Alderman,26,9780316547611,9,5
Manhattan Beach,2/7/2018,Hardcover Fiction,10,Jennifer Egan,27,9781476716732,8,18
Artemis,2/7/2018,Hardcover Fiction,11,Andy Weir,27,9780553448122,7,12
The Largesse of the Sea Maiden,2/7/2018,Hardcover Fiction,12,Denis Johnson,27,9780812988635,12,3
The Rooster Bar,2/7/2018,Hardcover Fiction,13,John Grisham,28.95,9780385541176,11,15
The Grave's a Fine and Private Place,2/7/2018,Hardcover Fiction,14,Alan Bradley,26,9780345539991,,1
Lincoln in the Bardo,2/7/2018,Hardcover Fiction,15,George Saunders,28,9780812995343,13,40
Fire and Fury,2/7/2018,Hardcover Nonfiction,1,Michael Wolff,30,9781250158062,1,5
Astrophysics for People in a Hurry,2/7/2018,Hardcover Nonfiction,2,Neil deGrasse Tyson,18.95,9780393609394,2,40
The Subtle Art of Not Giving A F*ck,2/7/2018,Hardcover Nonfiction,3,Mark Manson,24.99,9780062457714,3,44
Leonardo da Vinci,2/7/2018,Hardcover Nonfiction,4,Walter Isaacson,35,9781501139154,4,16
Killers of the Flower Moon,2/7/2018,Hardcover Nonfiction,5,David Grann,28.95,9780385534246,15,31
When,2/7/2018,Hardcover Nonfiction,6,Daniel H. Pink,28,9780735210622,10,4
The Monk of Mokha,2/7/2018,Hardcover Nonfiction,7,Dave Eggers,28.95,9781101947319,,1
The Last Black Unicorn,2/7/2018,Hardcover Nonfiction,8,Tiffany Haddish,26,9781501181825,5,6
Principles,2/7/2018,Hardcover Nonfiction,9,Ray Dalio,30,9781501124020,9,11
Hillbilly Elegy,2/7/2018,Hardcover Nonfiction,10,J.D. Vance,27.99,9780062300546,6,75
How Democracies Die,2/7/2018,Hardcover Nonfiction,11,Steven Levitsky,26,9781524762933,7,2
Women & Power,2/7/2018,Hardcover Nonfiction,12,Mary Beard,15.95,9781631494758,12,8
The Book of Joy,2/7/2018,Hardcover Nonfiction,13,The Dalai Lama,26,9780399185045,8,46
The Gentle Art of Swedish Death Cleaning,2/7/2018,Hardcover Nonfiction,14,Margareta Magnusson,18.99,9781501173240,11,3
Grant,2/7/2018,Hardcover Nonfiction,15,Ron Chernow,40,9781594204876,13,17
No Middle Name,2/7/2018,Mass Market,1,Lee Child,9.99,9780399593598,1,5
The Whistler,2/7/2018,Mass Market,2,John Grisham,9.99,9781101967683,2,30
Dragon Teeth,2/7/2018,Mass Market,3,Michael Crichton,9.99,9780062473363,3,10
Never Never,2/7/2018,Mass Market,4,James Patterson,9.99,9781478944782,5,6
12 Strong,2/7/2018,Mass Market,5,Doug Stanton,9.99,9781501179952,4,6
Against All Odds,2/7/2018,Mass Market,6,Danielle Steel,8.99,9781101883938,9,2
Thomas Jefferson and the Tripoli Pirates,2/7/2018,Mass Market,7,Brian Kilmeade,9.99,9780143131830,,1
The Husband's Secret,2/7/2018,Mass Market,8,Liane Moriarty,9.99,9780451490049,7,29
What Alice Forgot,2/7/2018,Mass Market,9,Liane Moriarty,9.99,9780451490445,10,5
The Lost Order,2/7/2018,Mass Market,10,Steve Berry,9.99,9781250058461,8,4
The Underground Railroad,2/7/2018,Trade Paperback Fiction,1,Colson Whitehead,16.95,9780345804327,,1
Pachinko,2/7/2018,Trade Paperback Fiction,2,Min Jin Lee,15.99,9781455563920,1,12
The Women in the Castle,2/7/2018,Trade Paperback Fiction,3,Jessica Shattuck,16.99,9780062563675,2,5
All the Light We Cannot See,2/7/2018,Trade Paperback Fiction,4,Anthony Doerr,17,9781501173219,3,44
The Handmaid's Tale,2/7/2018,Trade Paperback Fiction,5,Margaret Atwood,15.95,9780525435006,6,41
We Were the Lucky Ones,2/7/2018,Trade Paperback Fiction,6,Georgia Hunter,16,9780399563096,4,5
The Woman in Cabin 10,2/7/2018,Trade Paperback Fiction,7,Ruth Ware,16,9781501132957,5,43
The Sun and Her Flowers,2/7/2018,Trade Paperback Fiction,8,Rupi Kaur,16.99,9781449486792,7,18
The Perfect Nanny,2/7/2018,Trade Paperback Fiction,9,Leeila Slimani,16,9780143132172,9,3
Lilac Girls,2/7/2018,Trade Paperback Fiction,10,Martha Hall Kelly,17,9781101883082,10,49
The Couple Next Door,2/7/2018,Trade Paperback Fiction,11,Shari Lapena,16,9780735221109,12,36
Call Me by Your Name,2/7/2018,Trade Paperback Fiction,12,Andre Aciman,17,9781250169440,13,4
Milk and Honey,2/7/2018,Trade Paperback Fiction,13,Rupi Kaur,14.99,9781449474256,11,74
Celine,2/7/2018,Trade Paperback Fiction,14,Peter Heller,16,9781101973486,15,4
Behind Closed Doors,2/7/2018,Trade Paperback Fiction,15,B.A. Paris,16.99,9781250132369,14,30
You Are a Badass,2/7/2018,Trade Paperback Nonfiction,1,Jen Sincero,16,9780762447695,1,133
The Silk Roads,2/7/2018,Trade Paperback Nonfiction,2,Peter Frankopan,20,9781101912379,3,10
12 Strong,2/7/2018,Trade Paperback Nonfiction,3,Doug Stanton,18,9781501178511,2,6
The Lost City of the Monkey God,2/7/2018,Trade Paperback Nonfiction,4,Douglas J. Preston,15.99,9781455540013,4,21
Being Mortal,2/7/2018,Trade Paperback Nonfiction,5,Atul Gawande,16,9781250076229,5,22
HBR's 10 Must Reads on Emotional Intelligence,2/7/2018,Trade Paperback Nonfiction,6,Harvard Business School Press,24.95,9781633690196,8,75
Invisible Influence,2/7/2018,Trade Paperback Nonfiction,7,Jonah Berger,16,9781476759739,6,33
HBR's 10 Must Reads on Managing Yourself,2/7/2018,Trade Paperback Nonfiction,8,Harvard Business School Press,24.95,9781422157992,7,55
The Undoing Project,2/7/2018,Trade Paperback Nonfiction,9,Michael Lewis,16.95,9780393354775,10,14
Evicted,2/7/2018,Trade Paperback Nonfiction,10,Matthew Desmond,17,9780553447453,11,38
On Tyranny,2/7/2018,Trade Paperback Nonfiction,11,Timothy Snyder,7.99,9780804190114,12,47
